id,ad,porsiyon_adi,gram,kalori,protein,karb,yag
mercimek-corbasi,Mercimek Çorbası,1 kase,250,150,8.0,22.0,3.5
ezogelin-corbasi,Ezogelin Çorbası,1 kase,250,160,7.5,24.0,4.0
tarhana-corbasi,Tarhana Çorbası,1 kase,250,130,5.5,20.0,3.0
yayla-corbasi,Yayla Çorbası,1 kase,250,140,6.0,18.0,5.0
domates-corbasi,Domates Çorbası,1 kase,250,120,4.0,17.0,4.0
tavuk-suyu-corba,Tavuk Suyu Çorba,1 kase,250,110,7.0,12.0,3.5
iskembe-corbasi,İşkembe Çorbası,1 kase,250,180,12.0,10.0,10.0
kelle-paca-corbasi,Kelle Paça Çorbası,1 kase,250,200,15.0,6.0,13.0
dugun-corbasi,Düğün Çorbası,1 kase,250,170,8.0,14.0,9.0
brokoli-corbasi,Brokoli Çorbası,1 kase,250,130,6.0,14.0,6.0
mantar-corbasi,Mantar Çorbası,1 kase,250,140,5.0,15.0,7.0
sehriye-corbasi,Şehriye Çorbası,1 kase,250,120,4.5,20.0,2.5
domatesli-sehriye-corbasi,Domatesli Şehriye Çorbası,1 kase,250,130,4.5,22.0,3.0
tavuklu-sehriye-corbasi,Tavuklu Şehriye Çorbası,1 kase,250,150,9.0,18.0,4.0
sebze-corbasi,Sebze Çorbası,1 kase,250,100,3.5,15.0,3.0
kremali-mantar-corbasi,Kremalı Mantar Çorbası,1 kase,250,180,5.5,16.0,10.0
balik-corbasi,Balık Çorbası,1 kase,250,160,14.0,10.0,7.0
analikizli-corba,Analı Kızlı Çorba,1 kase,250,220,10.0,28.0,7.0
un-corbasi,Un Çorbası,1 kase,250,140,4.0,20.0,5.0
bezelye-corbasi,Bezelye Çorbası,1 kase,250,150,7.0,20.0,4.5
kuru-fasulye-etli,Kuru Fasulye Etli,1 porsiyon,300,320,18.0,35.0,12.0
nohut-etli,Nohut Yemeği Etli,1 porsiyon,300,340,17.0,40.0,12.0
karniyarik,Karnıyarık,1 adet,250,290,14.0,18.0,18.0
izmir-kofte,İzmir Köfte,1 porsiyon,280,350,22.0,15.0,22.0
tas-kebabi,Tas Kebabı,1 porsiyon,280,340,26.0,14.0,20.0
et-guvec,Et Güveç,1 porsiyon,300,360,28.0,18.0,20.0
orman-kebabi,Orman Kebabı,1 porsiyon,300,380,26.0,20.0,22.0
hunkar-begendi,Hünkar Beğendi,1 porsiyon,300,420,24.0,22.0,26.0
kiymali-ispanak,Kıymalı Ispanak,1 porsiyon,300,220,15.0,12.0,13.0
etli-bezelye,Etli Bezelye,1 porsiyon,300,280,16.0,26.0,12.0
etli-turlu,Etli Türlü,1 porsiyon,300,260,15.0,22.0,12.0
sac-kavurma,Sac Kavurma,1 porsiyon,250,380,30.0,8.0,26.0
tavuk-sote,Tavuk Sote,1 porsiyon,280,300,28.0,14.0,15.0
tavuk-sis,Tavuk Şiş,1 porsiyon,250,320,34.0,4.0,18.0
adana-kebap,Adana Kebap,1 porsiyon,250,480,28.0,6.0,38.0
urfa-kebap,Urfa Kebap,1 porsiyon,250,450,29.0,6.0,34.0
et-doner,Et Döner,1 porsiyon,200,420,26.0,4.0,34.0
